rid,ttr
0,0.06928086280822754
1,0.06938529014587402
2,0.07681608200073242
3,0.06554222106933594
4,0.06435298919677734
5,0.07710528373718262
6,0.0689840316772461
7,0.06213784217834473
8,0.06567120552062988
9,0.04103708267211914
10,0.05053901672363281
11,0.055908918380737305
12,0.06329798698425293
13,0.06306815147399902
14,0.06710195541381836
15,0.06950783729553223
16,0.06598305702209473
17,0.06363701820373535
18,0.06521201133728027
19,0.06252884864807129
20,0.061927080154418945
21,0.06431102752685547
22,0.07115387916564941
23,0.06484460830688477
24,0.06436300277709961
25,0.06543302536010742
26,0.06414318084716797
27,0.06642508506774902
28,0.06430912017822266
29,0.06590580940246582
30,0.09508776664733887
31,0.06369686126708984
32,0.06280207633972168
33,0.0716850757598877
34,0.06455087661743164
35,0.08315205574035645
36,0.07633304595947266
37,0.08977890014648438
38,0.06537199020385742
39,0.059999942779541016
40,0.06036710739135742
41,0.04890799522399902
42,0.06425023078918457
43,0.0657351016998291
44,0.06665706634521484
45,0.07673287391662598
46,0.06466412544250488
47,0.06851482391357422
48,0.06284809112548828
49,0.06141805648803711
50,0.06583786010742188
51,0.07031393051147461
52,0.06317019462585449
53,0.06769299507141113
54,0.06856608390808105
55,0.06647396087646484
56,0.07903218269348145
57,0.07296109199523926
58,0.07244396209716797
59,0.06920814514160156
60,0.06824922561645508
61,0.06767106056213379
62,0.06707882881164551
63,0.06375813484191895
64,0.06358194351196289
65,0.07527995109558105
66,0.07365989685058594
67,0.06565594673156738
68,0.06571197509765625
69,0.0686180591583252
70,0.06666111946105957
71,0.0674281120300293
72,0.07133793830871582
73,0.06104087829589844
74,0.06568598747253418
75,0.07404398918151855
76,0.0695650577545166
77,0.0683748722076416
78,0.06617331504821777
79,0.06467604637145996
80,0.067291259765625
81,0.06524229049682617
82,0.07677912712097168
83,0.06775808334350586
84,0.07385993003845215
85,0.0765371322631836
86,0.07423686981201172
87,0.06945180892944336
88,0.08698081970214844
89,0.06456398963928223
90,0.06905007362365723
91,0.06671428680419922
92,0.06549501419067383
93,0.0703129768371582
94,0.06395697593688965
95,0.06606411933898926
96,0.06298398971557617
97,0.07443094253540039
98,0.06452798843383789
99,0.06487607955932617
100,0.06343197822570801
101,0.06528496742248535
102,0.06824922561645508
103,0.06700515747070312
104,0.06423497200012207
105,0.0709531307220459
106,0.06460809707641602
107,0.06143522262573242
108,0.06590914726257324
109,0.07060790061950684
110,0.0721902847290039
111,0.07043623924255371
112,0.06848311424255371
113,0.07588815689086914
114,0.06620502471923828
115,0.07068109512329102
116,0.07344317436218262
117,0.06836819648742676
118,0.06659507751464844
