,0
0,1082.699
1,52.126999999999995
2,38.053999999999995
3,32.149
4,29.207
5,30.92799999999999
6,42.036
7,19.937999999999995
8,27.149999999999995
9,52.704
10,42.01400000000001
11,24.597000000000005
12,28.366000000000003
13,22.724000000000004
14,19.601000000000006
15,19.158
16,19.682
17,18.866
18,19.935000000000002
19,20.567999999999998
20,26.102000000000004
21,20.645000000000003
22,21.709
23,24.377000000000002
24,20.391000000000005
25,19.532999999999998
26,21.132
27,20.182000000000002
28,20.731
29,25.555000000000003
30,23.421000000000003
31,33.254000000000005
32,19.078
33,35.222
34,20.246000000000002
35,22.212000000000003
36,34.92
37,22.674
38,22.965000000000003
39,22.355
40,24.336999999999996
41,24.569000000000003
42,24.247
43,33.03099999999999
44,55.17900000000001
45,37.505
46,23.018
47,21.046
48,23.388999999999996
49,24.977
50,21.657000000000004
51,18.851
52,22.985000000000003
53,84.707
54,32.262
55,48.72300000000001
56,28.123000000000005
57,24.662000000000003
58,21.512999999999998
59,24.875
60,26.812
61,19.291
62,21.371000000000002
63,22.046
64,21.012000000000004
65,22.570999999999998
66,20.738999999999997
67,22.117
68,21.876000000000005
69,18.738999999999997
70,20.951
71,23.357999999999997
72,26.085
73,23.164999999999996
74,30.958999999999996
75,24.323
76,19.807
77,18.465
78,18.735
79,17.556999999999995
80,21.902
81,25.031000000000002
82,22.911
83,25.260999999999996
84,23.206
85,18.395
86,21.916
87,28.255999999999997
88,20.208999999999996
89,19.135000000000005
90,22.752000000000002
91,19.645999999999997
92,24.041000000000004
93,34.796
94,33.943
95,34.739999999999995
96,70.998
97,25.903
98,32.956999999999994
99,25.589000000000002
100,41.149
101,35.037000000000006
102,31.226
103,32.504999999999995
104,30.357999999999997
105,31.379000000000005
106,33.689
107,50.48699999999999
108,46.46600000000001
109,23.468999999999998
110,27.425
111,19.229
112,32.38
113,33.24400000000001
114,37.655
115,28.852
116,30.637
117,31.093000000000004
118,39.01100000000001
119,40.75899999999999
120,31.322000000000003
121,33.005
122,25.068
123,31.862999999999996
124,33.788000000000004
125,35.135000000000005
126,32.742999999999995
127,33.737
128,33.078
129,26.082999999999995
130,31.285
131,45.85000000000001
132,37.481
133,36.135
134,31.437
135,28.306999999999995
136,37.098
137,35.766999999999996
138,38.353
139,35.098
140,35.95
141,28.125
142,35.552
143,34.269
144,40.54899999999999
145,40.17800000000001
146,34.827
147,35.55800000000001
